"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 1400",6071727.125,3526046.62361,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1410",6071729.03001,3526054.34946,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1420",6071737.70836,3526051.28028,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1440",6071714.74248,3526045.98861,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1460",6071721.09249,3526064.93281,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1470",6071725.32583,3526072.23532,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1480",6071734.63918,3526070.96532,"Picea omorika, Serbische Fichte","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1490",6071739.29586,3526068.74282,"Picea omorika, Serbische Fichte","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1510",6071748.39754,3526065.25031,"Picea omorika, Serbische Fichte","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1540",6071698.54994,3526076.36283,"Acer saccharinum, Silber-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1550",6071688.07242,3526052.97362,"Acer saccharinum, Silber-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1590",6071650.80253,3526099.52983,"Acer saccharinum, Silber-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1600",6071694.34766,3526137.15155,"Acer saccharinum, Silber-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1610",6071707.15506,3526138.2722,"Acer saccharinum, Silber-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1670",6071722.68402,3526143.07497,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1680",6071728.76753,3526144.35571,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1690",6071749.57954,3526106.89408,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1700",6071739.01345,3526110.09593,"Ilex aquifolium, Stechpalme","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1710",6071735.33132,3526108.97529,"Ilex aquifolium, Stechpalme","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1760",6071848.02506,3526251.04704,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1780",6071838.6588,3526272.95459,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1790",6071830.24503,3526245.49078,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1800",6071826.27627,3526255.80955,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1810",6071821.99001,3526265.65207,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1820",6071839.45255,3526247.71329,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1830",6071836.75379,3526253.90455,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1850",6071830.40378,3526269.30333,"Pyrus communis Aggregat, Hausbirne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
